brandCode,code,name,vesselTypeCode,yearFrom,yearTo,lengthMeters,isActive,source,needsReview
SIRENA_YACHTS,SIRENA_48,Sirena 48,MOTOR_YACHT,2019,,14.7,True,https://www.sirenayachts.com/,False
SIRENA_YACHTS,SIRENA_58,Sirena 58,MOTOR_YACHT,2016,,18.0,True,https://www.sirenayachts.com/,False
SIRENA_YACHTS,SIRENA_68,Sirena 68,MOTOR_YACHT,2018,,21.0,True,https://www.sirenayachts.com/,False
SIRENA_YACHTS,SIRENA_78,Sirena 78,MOTOR_YACHT,2022,,24.0,True,https://www.sirenayachts.com/,False
SIRENA_YACHTS,SIRENA_88,Sirena 88,MOTOR_YACHT,2021,,27.0,True,https://www.sirenayachts.com/,False
NUMARINE,22XP,22XP,MOTOR_YACHT,2018,,22.0,True,https://www.numarine.com/,False
NUMARINE,26XP,26XP,MOTOR_YACHT,2016,,26.0,True,https://www.numarine.com/,False
NUMARINE,32XP,32XP,MOTOR_YACHT,2019,,32.0,True,https://www.numarine.com/,False
NUMARINE,37XP,37XP,MOTOR_YACHT,2021,,37.0,True,https://www.numarine.com/,False
NUMARINE,62_FLYBRIDGE,62 Flybridge,MOTOR_YACHT,,,,True,https://www.numarine.com/,True
NUMARINE,70_FLYBRIDGE,70 Flybridge,MOTOR_YACHT,,,,True,https://www.numarine.com/,True
NUMARINE,78_FLYBRIDGE,78 Flybridge,MOTOR_YACHT,,,,True,https://www.numarine.com/,True
NUMARINE,105_HARDTOP,105 Hardtop,MOTOR_YACHT,,,,True,https://www.numarine.com/,True
NUMARINE,26XP_HYBRID,26XP Hybrid,MOTOR_YACHT,,,,True,https://www.numarine.com/,True
VICEM_YACHTS,VICEM_CLASSIC_46,Vicem Classic 46,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_CLASSIC_58,Vicem Classic 58,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_CLASSIC_78,Vicem Classic 78,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_CRUISER_92,Vicem Cruiser 92,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_BAHAMA_BAY_34,Vicem Bahama Bay 34,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_VULCAN_32M,Vicem Vulcan 32M,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_107_CRUISER,Vicem 107 Cruiser,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
VICEM_YACHTS,VICEM_46_IPS,Vicem 46 IPS,MOTOR_YACHT,,,,True,https://www.vicemyachts.com/,True
MENGI_YAY,BANDIDO_66,Bandido 66,MOTOR_YACHT,,,,True,https://www.mengiyay.com/,True
MENGI_YAY,BANDIDO_75,Bandido 75,MOTOR_YACHT,,,,True,https://www.mengiyay.com/,True
MENGI_YAY,BANDIDO_90,Bandido 90,MOTOR_YACHT,,,,True,https://www.mengiyay.com/,True
MENGI_YAY,BANDIDO_148,Bandido 148,MOTOR_YACHT,,,45.0,True,https://www.mengiyay.com/,True
MENGI_YAY,TRAWLER_78,Trawler 78,MOTOR_YACHT,,,,True,https://www.mengiyay.com/,True
MENGI_YAY,TRAWLER_90,Trawler 90,MOTOR_YACHT,,,,True,https://www.mengiyay.com/,True
BERING_YACHTS,BERING_55,Bering 55,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_60,Bering 60,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_65,Bering 65,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_70,Bering 70,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_77,Bering 77,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_92,Bering 92,MOTOR_YACHT,,,28.0,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_80,Bering 80,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
BERING_YACHTS,BERING_145,Bering 145,MOTOR_YACHT,,,,True,https://beringyachts.com/,True
MAZU_YACHTS,MAZU_38,Mazu 38,MOTOR_YACHT,,,11.7,True,https://www.mazuyachts.com/,True
MAZU_YACHTS,MAZU_42,Mazu 42,MOTOR_YACHT,,,13.0,True,https://www.mazuyachts.com/,True
MAZU_YACHTS,MAZU_52,Mazu 52,MOTOR_YACHT,,,16.0,True,https://www.mazuyachts.com/,True
MAZU_YACHTS,MAZU_82,Mazu 82,MOTOR_YACHT,,,25.0,True,https://www.mazuyachts.com/,True
SARP_YACHTS,SARP_XSR_85,Sarp XSR 85,MOTOR_YACHT,,,,True,https://www.sarpyachts.com/,True
SARP_YACHTS,SARP_XSR_105,Sarp XSR 105,MOTOR_YACHT,,,,True,https://www.sarpyachts.com/,True
SARP_YACHTS,SARP_46,Sarp 46,MOTOR_YACHT,,,,True,https://www.sarpyachts.com/,True
SARP_YACHTS,SARP_58,Sarp 58,MOTOR_YACHT,,,,True,https://www.sarpyachts.com/,True
BILGIN_YACHTS,BILGIN_156,Bilgin 156,MOTOR_YACHT,,,,True,https://www.bilginyacht.com/,True
BILGIN_YACHTS,BILGIN_163,Bilgin 163,MOTOR_YACHT,,,,True,https://www.bilginyacht.com/,True
BILGIN_YACHTS,BILGIN_197,Bilgin 197,MOTOR_YACHT,,,,True,https://www.bilginyacht.com/,True
BILGIN_YACHTS,BILGIN_263,Bilgin 263,MOTOR_YACHT,,,,True,https://www.bilginyacht.com/,True
BILGIN_YACHTS,BILGIN_CLASSIC_160,Bilgin Classic 160,MOTOR_YACHT,,,,True,https://www.bilginyacht.com/,True
TURQUOISE_YACHTS,TURQUOISE_55M,Turquoise 55m,MOTOR_YACHT,,,,True,https://www.turquoiseyachts.com/,True
TURQUOISE_YACHTS,TURQUOISE_66M,Turquoise 66m,MOTOR_YACHT,,,,True,https://www.turquoiseyachts.com/,True
TURQUOISE_YACHTS,TURQUOISE_77M,Turquoise 77m,MOTOR_YACHT,,,,True,https://www.turquoiseyachts.com/,True
TANSU_YACHTS,TANSU_42M,Tansu 42m,MOTOR_YACHT,,,,True,https://www.tansuyachts.com/,True
TANSU_YACHTS,TANSU_NOVIA,Tansu Novia,MOTOR_YACHT,,,,True,https://www.tansuyachts.com/,True
TANSU_YACHTS,TANSU_SO_MAR,Tansu So'Mar,MOTOR_YACHT,,,,True,https://www.tansuyachts.com/,True
SU_MARINE_YACHTS,SU_11,Su 11,MOTOR_YACHT,,,,True,https://www.sumarineyachts.com/,True
SU_MARINE_YACHTS,SU_12,Su 12,MOTOR_YACHT,,,,True,https://www.sumarineyachts.com/,True
SU_MARINE_YACHTS,SU_15,Su 15,MOTOR_YACHT,,,,True,https://www.sumarineyachts.com/,True
SU_MARINE_YACHTS,SU_BARCA_45,Su Barca 45,MOTOR_YACHT,,,,True,https://www.sumarineyachts.com/,True
ALESTA_YACHTS,ALESTA_34,Alesta 34,MOTOR_YACHT,,,,True,https://www.alestayacht.com/,True
ALESTA_YACHTS,ALESTA_40,Alesta 40,MOTOR_YACHT,,,,True,https://www.alestayacht.com/,True
ALESTA_YACHTS,ALESTA_EXPLORER_48,Alesta Explorer 48,MOTOR_YACHT,,,,True,https://www.alestayacht.com/,True
BENETEAU,OCEANIS_30_1,Oceanis 30.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_34_1,Oceanis 34.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_37_1,Oceanis 37.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_40_1,Oceanis 40.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_46_1,Oceanis 46.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_51_1,Oceanis 51.1,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_YACHT_54,Oceanis Yacht 54,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_YACHT_60,Oceanis Yacht 60,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_YACHT_62,Oceanis Yacht 62,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_31,Oceanis 31,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_35,Oceanis 35,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
BENETEAU,OCEANIS_37,Oceanis 37,SAILING_BOAT,,,,True,https://www.beneteau.com/,True
